Sequence Id,Country,ethnic_info,structure_population
ST786,Russia,Russian,hpEurope
ST787,Russia,Russian,hpEurope
ST788,Russia,Russian,hpEurope
ST805,Taiwan,Chinese,hspEAsia
ST808,Taiwan,Chinese,hspEAsia
ST809,Taiwan,Chinese,hspEAsia
ST810,Taiwan,Chinese,hspEAsia
ST811,Taiwan,Chinese,hspEAsia
ST812,Taiwan,Chinese,hspEAsia
ST829,Papua New Guinea,Highlander,hpSahul
ST830,Palestine,Palestinian,hpEurope
ST832,Lebanon,Lebanese,hpEurope
ST833,Netherlands,European,hpEurope
ST834,Taiwan,Native Taiwanese,hspEAsia
ST836,Spain,Basque,hpEurope
ST849,Australia,European,hpEurope
ST850,Australia,European,hpEurope
ST851,Australia,European,hpEurope
ST852,Australia,European,hpEurope
ST853,Australia,European,hpEurope
ST854,Japan,Japanese,hspEAsia
ST855,Spain,Basque,hpEurope
ST866,Morocco,-,hspWAfrica
ST867,Finland,Finn,hpEurope
ST868,Japan,Japanese,hspEAsia
ST869,Papua New Guinea,Highlander,hpSahul
ST870,Japan,Japanese,hspEAsia
ST871,Philippines,unknown,hspMaori
ST873,Taiwan,Native Taiwanese,hspMaori
ST879,Papua New Guinea,Highlander,hpSahul
ST885,Finland,Finn,hpEurope
ST890,Spain,Basque,hpEurope
ST891,Morocco,-,hpEurope
ST892,Thailand,Thai,hpAsia2
ST894,China,Chinese,hspEAsia
ST906,Venezuela,Mestizo,hpEurope
ST907,Spain,Basque,hpEurope
ST926,Australia,European,hpSahul
ST927,Taiwan,Native Taiwanese,hspMaori
ST929,Australia,European,hpEurope
ST935,Japan,Japanese,hspEAsia
ST939,Taiwan,Native Taiwanese,hspMaori
ST941,Germany,German,hpEurope
ST942,Germany,German,hpEurope
ST943,Vietnam,Vietnamese,hpEurope
ST944,Vietnam,Vietnamese,hspEAsia
ST946,Papua New Guinea,Highlander,hpSahul
ST952,Algeria,-,hspWAfrica
ST954,Germany,German,hpEurope
ST961,Spain,Basque,hpEurope
ST964,Russia,Russian,hpEurope
ST965,Australia,Aboriginal,hpSahul
ST966,Papua New Guinea,Highlander,hpSahul
ST967,Australia,Aboriginal,hpEurope
ST969,Taiwan,Native Taiwanese,hspEAsia
ST970,Australia,Aboriginal,hpEurope
ST971,Australia,Aboriginal,hpEurope
ST972,Australia,Aboriginal,hpEurope
ST973,Australia,Aboriginal,hpEurope
ST974,Australia,Aboriginal,hpSahul
ST975,Australia,Aboriginal,hpEurope
ST975,Australia,Aboriginal,hpEurope
ST976,Australia,Aboriginal,hpEurope
ST977,Australia,Aboriginal,hpEurope
ST978,Australia,Aboriginal,hpEurope
ST979,Australia,Aboriginal,hpEurope
ST980,Papua New Guinea,Highlander,hpSahul
ST981,Papua New Guinea,Highlander,hpSahul
ST983,Spain,Basque,hpEurope
ST984,Vietnam,Vietnamese,hspEAsia
ST985,Vietnam,Vietnamese,hspEAsia
ST986,Vietnam,Vietnamese,hspEAsia
ST987,Spain,Basque,hpEurope
ST992,Finland,Finn,hpEurope
ST996,Lebanon,Lebanese,hpEurope
ST1009,Australia,European,hpEurope
