Sequence Id,Sample Id,Location,Location+Start
DQ203611.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203609.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203607.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203606.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203605.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203604.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203603.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203600.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203599.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203598.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203597.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203595.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203594.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203592.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203591.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203586.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203579.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203575.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203573.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203572.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203565.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203564.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203563.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203562.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203561.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203558.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203553.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203549.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203547.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203546.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203543.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203542.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203539.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203538.1,Med20_May03,Mediterranean Sea,Med-Strat
DQ203536.1,Med20_May03,Mediterranean Sea,Med-Strat
