Sequence Id,Sample Id,Location,Location+Start
DQ422662.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422660.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422651.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422644.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422643.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422641.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422635.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422634.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422725.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422724.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422723.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422722.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422721.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422720.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422719.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422717.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422716.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422714.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422711.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422710.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422709.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422708.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422707.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422706.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422702.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422701.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422700.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422699.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422698.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422697.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422695.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422694.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422693.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422692.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422690.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422687.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422683.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422681.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422680.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422679.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422677.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422676.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422675.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422674.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422673.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422672.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422667.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422666.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422664.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422663.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422661.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422659.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422658.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422657.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422656.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422655.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422654.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422653.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422652.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422650.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422649.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422648.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422647.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422646.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422645.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422642.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422640.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422639.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422638.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422637.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422636.1,Med20_Feb06,Mediterranean Sea,Med-Mixed
DQ422532.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422527.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422518.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422514.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422511.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422509.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422500.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422497.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422489.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422488.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422479.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422476.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422471.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422467.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422466.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422462.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422450.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422449.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422540.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422539.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422538.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422537.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422536.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422535.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422534.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422533.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422531.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422530.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422529.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422528.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422526.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422525.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422524.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422523.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422522.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422521.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422520.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422519.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422517.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422516.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422515.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422513.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422512.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422510.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422508.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422507.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422506.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422505.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422504.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422503.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422502.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422501.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422499.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422498.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422496.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422495.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422494.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422493.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422492.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422491.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422490.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422487.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422486.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422485.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422484.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422483.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422482.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422481.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422480.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422478.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422477.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422475.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422474.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422473.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422472.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422470.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422469.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422468.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422465.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422464.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422463.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422461.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422460.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422459.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422458.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422457.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422456.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422455.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422454.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422453.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422452.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422451.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
DQ422448.1,Med50_Feb06,Mediterranean Sea,Med-Mixed
